JobTitle,SalaryEstimate,Rating,CompanyName,CompanySize,FoundedYear,OwnershipType,Industry,Sector,MinSalary,MaxSalary,AverageSalary,state,City,CompanyAge,AverageRevenue,NumberOfCompetitors,Experience_Level,RequiredSkills,EducationLevel,YearsofExperience,SalaryCategory
data scientist,102000-163000 ,3.2,Formation,51-200,2015.0,Private,Enterprise Software & Network Solutions,Information Technology,102000,163000,132500,CA,San Francisco,9.0,3078534386.6171002,1,Mid-level,"['R', 'Scala']",['Master'],2.0,Medium
data engineer,76000-140000 ,4.0,Autodesk,5001-10000,1982.0,Public,Computer Hardware & Software,Information Technology,76000,140000,108000,CA,San Francisco,42.0,3500000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']","['Bachelor', 'Master']",3.0,Medium
data scientist,60000-101000 ,4.6,Beck's Hybrids,501-1000,1937.0,Private,Farm Support Services,Agriculture & Forestry,60000,101000,80500,IN,Atlanta,87.0,75000000.0,1,Mid-level,['R'],[],7.25830258302583,Medium
data scientist,82000-133000 ,2.8,DrFirst,201-500,2000.0,Private,Health Care Services & Hospitals,Health Care,82000,133000,107500,MD,Rockville,24.0,3078534386.6171002,1,Mid-level,"['Python', 'R']","['Master', 'PhD']",7.25830258302583,Medium
data engineer,65000-125000 ,4.7,Object Partners,51-200,1996.0,Private,Consulting,Business Services,65000,125000,95000,MN,Minneapolis,28.0,37500000.0,2,Mid-level,"['R', 'SQL', 'Java', 'Scala']",[],7.25830258302583,Medium
data scientist,91000-148000 ,3.0,L.A. Care Health Plan,1001-5000,1997.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,91000,148000,119500,CA,Los Angeles,27.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",8.0,Medium
data engineer,95000-173000 ,3.2,Red Ventures,1001-5000,2000.0,Private,Advertising & Marketing,Business Services,95000,173000,134000,NC,Charlotte,24.0,1500000000.0,3,Senior,"['R', 'SQL', 'Java', 'Scala']",[],7.25830258302583,Medium
data scientist,77000-124000 ,4.4,Quick Base,201-500,1999.0,Private,Enterprise Software & Network Solutions,Information Technology,77000,124000,100500,MA,Cambridge,25.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",[],1.0,Medium
data scientist,80000-135000 ,3.5,The E.W. Scripps Company,1001-5000,1878.0,Public,Tv Broadcast & Cable Networks,Media,80000,135000,107500,OH,Cincinnati,146.0,250500000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",3.0,Medium
data engineer,85000-159000 ,4.0,Upside Business Travel,51-200,2015.0,Private,Internet,Information Technology,85000,159000,122000,DC,Washington,9.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",[],7.25830258302583,Medium
data engineer,80000-105000,4.3,Equity Residential,1001-5000,1993.0,Public,Real Estate,Real Estate,80000,105000,92500,IL,Chicago,31.0,3500000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",['Bachelor'],2.0,Medium
analyst,43000-81000 ,2.3,Synagro,501-1000,1986.0,Private,Research & Development,Business Services,43000,81000,62000,MD,Baltimore,38.0,300000000.0,1,Mid-level,"['R', 'SQL']",['Bachelor'],3.0,Low
Other,29000-50000 ,4.0,Alliance Source Testing,51-200,2000.0,Unknown,Architectural & Engineering Services,Business Services,29000,50000,39500,AL,Alabaster,24.0,37500000.0,1,Mid-level,['R'],['Bachelor'],7.25830258302583,Low
data scientist,82000-133000 ,3.6,Accuride International,1001-5000,1966.0,Private,Industrial Manufacturing,Manufacturing,82000,133000,107500,CA,Santa Fe Springs,58.0,300000000.0,1,Mid-level,['R'],"['Master', 'PhD']",50.0,Medium
manager,26000-55000 ,3.8,Full Potential Solutions,501-1000,2017.0,Private,Staffing & Outsourcing,Business Services,26000,55000,40500,MO,Kansas City,7.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],5.0,Low
data scientist,61000-118000 ,3.7,Visa Inc.,10000++,1958.0,Public,It Services,Information Technology,61000,118000,89500,VA,Ashburn,66.0,10000000000.0,3,Senior,"['Python', 'R', 'SQL', 'Scala']","['Bachelor', 'Master', 'PhD']",4.0,Medium
data scientist,60000-102000 ,4.4,Maven Wave Partners,201-500,2008.0,Private,Consulting,Business Services,60000,102000,81000,IL,Chicago,16.0,75000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Java']",[],5.0,Medium
data scientist,112000-182000 ,4.0,Novetta,501-1000,2012.0,Private,Enterprise Software & Network Solutions,Information Technology,112000,182000,147000,VA,Herndon,12.0,300000000.0,3,Senior,"['Python', 'R', 'Java']",[],2.0,High
data scientist,64000-106000 ,3.2,"First Command Financial Services, Inc.",1001-5000,1958.0,Private,Brokerage Services,Finance,64000,106000,85000,TX,Fort Worth,66.0,300000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Scala']",[],5.0,Medium
Other,51000-112000 ,2.9,Pharmavite,1001-5000,1971.0,Private,Consumer Products Manufacturing,Manufacturing,51000,112000,81500,CA,Valencia,53.0,1500000000.0,2,Mid-level,['R'],"['Bachelor', 'Master', 'PhD']",45.0,Medium
Other,113000-223000 ,3.8,BioMarin Pharmaceutical,1001-5000,1997.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,113000,223000,168000,CA,Novato,27.0,250500000.0,3,Mid-level,"['R', 'Scala']",['PhD'],2.0,High
mle,72000-129000 ,4.3,Stratagem Group,1-50,2007.0,Private,Aerospace & Defense,Aerospace & Defense,72000,129000,100500,CO,Aurora,17.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'C++']",[],15.0,Medium
data scientist,71000-123000 ,3.4,PA Consulting,1001-5000,1943.0,Private,Consulting,Business Services,71000,123000,97000,NY,New York,81.0,300000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'C++', 'Scala']",['Master'],5.0,Medium
data scientist,64000-106000 ,4.1,ManTech,5001-10000,1968.0,Public,Research & Development,Business Services,64000,106000,85000,VA,Chantilly,56.0,1500000000.0,1,Mid-level,"['R', 'SQL']",[],7.25830258302583,Medium
data scientist,118000-189000 ,4.3,h2o.ai,201-500,2011.0,Private,Enterprise Software & Network Solutions,Information Technology,118000,189000,153500,CA,Mountain View,13.0,3078534386.6171002,1,Mid-level,"['Python', 'R']","['Bachelor', 'Master']",2.0,High
data engineer,Employer Provided Salary:120000-145000,5.0,Gridiron IT,51-200,2017.0,Private,It Services,Information Technology,120000,145000,132500,FL,Tampa,7.0,3078534386.6171002,1,Mid-level,['R'],[],7.25830258302583,Medium
data engineer,80000-120000 ,4.3,Productive Edge,51-200,2008.0,Private,Computer Hardware & Software,Information Technology,80000,120000,100000,IL,Chicago,16.0,17500000.0,3,Mid-level,"['R', 'SQL', 'Java']",['Bachelor'],2.0,Medium
data scientist,80000-130000 ,3.7,Evolve Vacation Rental,201-500,2011.0,Private,Travel Agencies,Travel & Tourism,80000,130000,105000,CO,Denver,13.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master', 'PhD']",2.0,Medium
data engineer,59000-115000 ,4.2,The Church of Jesus Christ of Latter-day Saints,10000++,1992.0,Nonprofit Organization,Religious Organizations,Non-Profit,59000,115000,87000,UT,Riverton,32.0,3078534386.6171002,1,Mid-level,['R'],"['Bachelor', 'Master']",4.0,Medium
analyst,71000-136000 ,4.3,Maximus Real Estate Partners,51-200,2013.0,Private,Real Estate,Real Estate,71000,136000,103500,CA,San Francisco,11.0,3078534386.6171002,3,Mid-level,"['R', 'SQL']",['Bachelor'],5.0,Medium
Other,81000-167000 ,2.6,Software Engineering Institute,501-1000,1984.0,College / University,Colleges & Universities,Education,81000,167000,124000,PA,Pittsburgh,40.0,3078534386.6171002,1,Senior,"['Python', 'R', 'Java']","['Master', 'PhD']",5.0,Medium
data scientist,49000-85000 ,3.8,PNNL,1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",49000,85000,67000,WA,Richland,59.0,250500000.0,3,Mid-level,"['Python', 'R']",['PhD'],1.0,Low
data engineer,60000-114000 ,3.9,AVANADE,10000++,2000.0,Private,It Services,Information Technology,60000,114000,87000,DC,Washington,24.0,3500000000.0,3,Mid-level,['R'],"['Bachelor', 'Master']",7.25830258302583,Medium
data scientist,71000-204000 ,4.3,h2o.ai,201-500,2011.0,Private,Enterprise Software & Network Solutions,Information Technology,71000,204000,137500,IL,Chicago,13.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'Java', 'Scala']",['PhD'],2.0,High
data scientist,75000-125000 ,3.8,PatientPoint,201-500,1987.0,Private,Advertising & Marketing,Business Services,75000,125000,100000,OH,Cincinnati,37.0,300000000.0,3,Senior,"['Python', 'R', 'SQL']",['Master'],30.0,Medium
data engineer,77000-136000 ,3.8,BlueCross BlueShield of Tennessee,5001-10000,1945.0,Nonprofit Organization,Insurance Carriers,Insurance,77000,136000,106500,TN,Chattanooga,79.0,7500000000.0,1,Mid-level,"['R', 'SQL']",['Bachelor'],5.0,Medium
data scientist,74000-123000 ,3.8,PNNL,1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",74000,123000,98500,WA,Richland,59.0,250500000.0,3,Senior,['R'],['PhD'],7.0,Medium
analyst,44000-78000 ,4.8,KnowBe4,501-1000,2010.0,Private,Security Services,Business Services,44000,78000,61000,FL,Clearwater,14.0,300000000.0,1,Senior,"['Python', 'R', 'SQL']",['Master'],3.0,Low
Other,65000-148000 ,4.4,KSM Consulting,51-200,2008.0,Private,Consulting,Business Services,65000,148000,106500,IN,Indianapolis,16.0,3078534386.6171002,1,Senior,"['Python', 'R', 'SQL', 'Java', 'C++', 'Scala']",['Bachelor'],2.0,Medium
data engineer,59000-110000 ,3.9,Cogo Labs,51-200,2005.0,Private,Internet,Information Technology,59000,110000,84500,MA,Cambridge,19.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",[],7.25830258302583,Medium
manager,85000-134000 ,3.4,Church & Dwight,1001-5000,1846.0,Public,Consumer Products Manufacturing,Manufacturing,85000,134000,109500,NJ,Ewing,178.0,3500000000.0,1,Mid-level,"['Python', 'R']",['Master'],5.0,Medium
data scientist,124000-204000 ,3.6,MassMutual,5001-10000,1851.0,Private,Insurance Carriers,Insurance,124000,204000,164000,MA,Boston,173.0,10000000000.0,1,Senior,"['Python', 'R', 'SQL', 'Java']",[],7.0,High
data scientist,131000-207000 ,3.9,Genentech,10000++,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,131000,207000,169000,CA,South San Francisco,48.0,10000000000.0,1,Mid-level,"['Python', 'R', 'SQL']",['PhD'],2.0,High
data scientist,110000-174000 ,3.8,Juniper Networks,5001-10000,1996.0,Public,Telecommunications Services,Telecommunications,110000,174000,142000,CA,Cupertino,28.0,3500000000.0,1,Senior,"['Python', 'R', 'Scala']",['PhD'],3.0,High
Other,52000-101000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,52000,101000,76500,MA,Boston,243.0,10000000000.0,3,Mid-level,['R'],['PhD'],7.25830258302583,Medium
data scientist,81000-133000 ,3.8,Legal & General America,501-1000,1981.0,Private,Insurance Carriers,Insurance,81000,133000,107000,MD,Frederick,43.0,250500000.0,1,Mid-level,"['Python', 'R', 'SQL']",['Master'],5.0,Medium
data scientist,132000-211000 ,3.5,Western Digital,10000++,1970.0,Public,Computer Hardware & Software,Information Technology,132000,211000,171500,CA,San Jose,54.0,10000000000.0,2,Mid-level,"['Python', 'R', 'SQL', 'Java']","['Master', 'PhD']",50.0,High
data scientist,73000-119000 ,3.9,Health IQ,201-500,2013.0,Private,Insurance Agencies & Brokerages,Insurance,73000,119000,96000,TX,Dallas,11.0,3078534386.6171002,1,Senior,"['R', 'Scala']",['PhD'],4.0,Medium
data scientist,110000-175000 ,4.2,Nuna,51-200,2010.0,Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,142500,CA,San Francisco,14.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']",['Bachelor'],3.0,High
data engineer,74000-140000 ,4.2,The Church of Jesus Christ of Latter-day Saints,10000++,1992.0,Nonprofit Organization,Religious Organizations,Non-Profit,74000,140000,107000,UT,Riverton,32.0,3078534386.6171002,1,Mid-level,['R'],"['Bachelor', 'Master']",8.0,Medium
Other,100000-190000 ,3.5,Sunovion,1001-5000,2010.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100000,190000,145000,MA,Marlborough,14.0,1500000000.0,3,Senior,"['Python', 'R']",['PhD'],3.0,High
analyst,43000-80000 ,2.9,National Student Clearinghouse,201-500,1993.0,Nonprofit Organization,Colleges & Universities,Education,43000,80000,61500,VA,Herndon,31.0,37500000.0,3,Senior,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",8.0,Low
Other,17-24 Per Hour,3.6,Tower Health,5001-10000,2017.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,35360,49920,42640,PA,West Reading,7.0,3078534386.6171002,1,Mid-level,['R'],['Bachelor'],1.0,Low
data scientist,91000-149000 ,2.7,State of Wisconsin Investment Board,51-200,1951.0,Government,Investment Banking & Asset Management,Finance,91000,149000,120000,WI,Madison,73.0,75000000.0,1,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],10.0,Medium
Other,42000-82000 ,4.4,Rubius Therapeutics,201-500,2013.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,42000,82000,62000,MA,Cambridge,11.0,300000000.0,1,Mid-level,['R'],['PhD'],2.0,Low
data scientist,116000-185000 ,4.0,Autodesk,5001-10000,1982.0,Public,Computer Hardware & Software,Information Technology,116000,185000,150500,CA,San Francisco,42.0,3500000000.0,1,Senior,"['Python', 'R', 'SQL', 'Java', 'Scala']",['PhD'],7.25830258302583,High
manager,59000-116000 ,4.3,OneMagnify,201-500,1967.0,Private,Advertising & Marketing,Business Services,59000,116000,87500,MI,Dearborn,57.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']",[],7.25830258302583,Medium
data engineer,48000-95000 ,4.2,IZEA,51-200,2006.0,Public,Advertising & Marketing,Business Services,48000,95000,71500,FL,Winter Park,18.0,37500000.0,2,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",[],3.0,Low
analyst,31000-72000 ,3.6,Vionic Group,51-200,2006.0,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,31000,72000,51500,CA,San Rafael,18.0,300000000.0,1,Mid-level,['R'],['Bachelor'],3.0,Low
Other,105000-198000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,105000,198000,151500,CA,San Diego,243.0,10000000000.0,3,Mid-level,['R'],"['Master', 'PhD']",5.0,High
analyst,55000-100000 ,2.8,Dodge Data & Analytics,201-500,2014.0,Private,It Services,Information Technology,55000,100000,77500,NJ,Hamilton,10.0,3078534386.6171002,1,Senior,"['Python', 'R', 'SQL']",['Bachelor'],5.0,Medium
Other,98000-182000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,98000,182000,140000,MA,Boston,243.0,10000000000.0,3,Mid-level,['R'],"['Master', 'PhD']",3.0,High
data scientist,73000-124000 ,3.3,Plymouth Rock Assurance,1001-5000,1982.0,Private,Insurance Carriers,Insurance,73000,124000,98500,NJ,Woodbridge,42.0,17500000.0,2,Senior,"['R', 'SQL']","['Master', 'PhD']",7.25830258302583,Medium
data scientist,Employer Provided Salary:200000-250000,3.7,CA-One Tech Cloud,51-200,2017.0,Private,It Services,Information Technology,200000,250000,225000,CA,San Francisco,7.0,7500000.0,1,Mid-level,"['Python', 'R']",['Bachelor'],5.0,Very High
Other,21-34 Per Hour,3.6,Beebe Healthcare,1001-5000,1935.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,43680,70720,57200,DE,Lewes,89.0,300000000.0,1,Mid-level,['R'],[],7.25830258302583,Low
Other,117000-206000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,117000,206000,161500,MA,Boston,243.0,10000000000.0,3,Mid-level,['R'],['Master'],10.0,High
data scientist,111000-183000 ,3.4,Argo Group US,1001-5000,1948.0,Public,Insurance Carriers,Insurance,111000,183000,147000,NY,New York,76.0,1500000000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],3.0,High
analyst,44000-78000 ,4.1,Associated Electric Cooperative,501-1000,1961.0,Private,Energy,"Oil, Gas, Energy & Utilities",44000,78000,61000,MO,Springfield,63.0,1500000000.0,1,Mid-level,"['R', 'SQL']","['Bachelor', 'Master']",2.0,Low
mle,81000-159000 ,2.6,Software Engineering Institute,501-1000,1984.0,College / University,Colleges & Universities,Education,81000,159000,120000,PA,Pittsburgh,40.0,3078534386.6171002,1,Mid-level,"['Python', 'R']",['PhD'],7.25830258302583,Medium
Other,83000-166000 ,3.2,PennyMac,1001-5000,2008.0,Public,Lending,Finance,83000,166000,124500,AZ,Phoenix,16.0,250500000.0,3,Mid-level,"['Python', 'R', 'SQL']",[],5.0,Medium
data scientist,114000-182000 ,3.9,Zest AI,51-200,2009.0,Private,Financial Analytics & Research,Finance,114000,182000,148000,CA,Burbank,15.0,75000000.0,1,Senior,"['Python', 'R']","['Master', 'PhD']",7.25830258302583,High
analyst,42000-76000 ,4.7,DECISIVE ANALYTICS Corporation,51-200,1996.0,Private,Aerospace & Defense,Aerospace & Defense,42000,76000,59000,AL,Huntsville,28.0,37500000.0,2,Mid-level,"['Python', 'R', 'C++']",['Bachelor'],7.25830258302583,Low
data scientist,114000-179000 ,3.7,The Hanover Insurance Group,5001-10000,1852.0,Public,Insurance Carriers,Insurance,114000,179000,146500,MA,Worcester,172.0,7500000000.0,1,Senior,"['Python', 'R', 'SQL']","['Master', 'PhD']",5.0,High
Other,60000-123000 ,2.9,Karyopharm Therapeutics Inc.,201-500,1992.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,60000,123000,91500,MA,Newton,32.0,3078534386.6171002,1,Mid-level,['R'],"['Bachelor', 'PhD']",2.0,Medium
mle,100000-166000 ,3.0,Tempus Labs,501-1000,2015.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100000,166000,133000,IL,Chicago,9.0,3078534386.6171002,1,Senior,"['Python', 'R', 'SQL', 'Java']",['PhD'],5.0,Medium
data scientist,108000-173000 ,4.7,Recursion Pharmaceuticals,51-200,2013.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,108000,173000,140500,UT,Salt Lake City,11.0,3000000.0,1,Mid-level,"['Python', 'R']",[],3.0,High
data engineer,48000-93000 ,3.7,P2 Energy Solutions,501-1000,1992.0,Private,Computer Hardware & Software,Information Technology,48000,93000,70500,LA,Lafayette,32.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']",['Bachelor'],80.0,Low
Other,54000-115000 ,3.3,Rochester Regional Health,10000++,2014.0,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,84500,NY,Rochester,10.0,250500000.0,1,Mid-level,['R'],['PhD'],5.0,Medium
Other,60000-127000 ,4.0,ClearEdge,51-200,2002.0,Private,Computer Hardware & Software,Information Technology,60000,127000,93500,MD,Annapolis Junction,22.0,7500000.0,1,Mid-level,"['R', 'Java']","['Bachelor', 'Master']",7.25830258302583,Medium
Other,90000-179000 ,4.4,Rubius Therapeutics,201-500,2013.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,90000,179000,134500,MA,Cambridge,11.0,300000000.0,1,Senior,['R'],[],2.0,Medium
mle,138000-224000 ,3.9,Tapjoy,201-500,2007.0,Private,Internet,Information Technology,138000,224000,181000,CA,San Francisco,17.0,17500000.0,2,Mid-level,"['Python', 'R', 'SQL']",[],7.25830258302583,High
Other,54000-115000 ,3.3,Rochester Regional Health,10000++,2014.0,Hospital,Health Care Services & Hospitals,Health Care,54000,115000,84500,NY,Rochester,10.0,250500000.0,1,Mid-level,['R'],['PhD'],5.0,Medium
data engineer,190000-220000,4.1,Credit Sesame,51-200,2010.0,Private,Internet,Information Technology,190000,220000,205000,CA,Mountain View,14.0,75000000.0,3,Senior,"['Python', 'R', 'SQL', 'Java']",['Bachelor'],7.25830258302583,Very High
analyst,35000-62000 ,3.6,San Manuel Casino,1001-5000,1986.0,Private,Gambling,"Arts, Entertainment & Recreation",35000,62000,48500,CA,Highland,38.0,300000000.0,1,Mid-level,"['R', 'SQL']","['Bachelor', 'Master']",2.0,Low
Other,18-25 Per Hour,4.0,Texas Health Huguley Hospital,1001-5000,1977.0,Hospital,Health Care Services & Hospitals,Health Care,37440,52000,44720,TX,Burleson,47.0,75000000.0,1,Mid-level,['R'],[],7.25830258302583,Low
Other,39000-66000 ,2.4,Teasdale Latin Foods,501-1000,1992.0,Private,Food & Beverage Manufacturing,Manufacturing,39000,66000,52500,IL,Hoopeston,32.0,300000000.0,1,Mid-level,['R'],['Bachelor'],7.25830258302583,Low
mle,81000-167000 ,2.6,Software Engineering Institute,501-1000,1984.0,College / University,Colleges & Universities,Education,81000,167000,124000,PA,Pittsburgh,40.0,3078534386.6171002,1,Senior,['R'],['PhD'],7.25830258302583,Medium
manager,42000-86000 ,3.5,Central California Alliance for Health,501-1000,1996.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,42000,86000,64000,CA,Scotts Valley,28.0,250500000.0,1,Mid-level,"['R', 'SQL']",['Bachelor'],7.25830258302583,Low
data engineer,69000-127000 ,3.0,Pilot Flying J Travel Centers LLC,10000++,1958.0,Private,Gas Stations,Retail,69000,127000,98000,TN,Knoxville,66.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java']",['Master'],3.0,Medium
Other,21-34 Per Hour,3.6,Beebe Healthcare,1001-5000,1935.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,43680,70720,57200,DE,Millville,89.0,300000000.0,1,Mid-level,['R'],[],7.25830258302583,Low
Other,40000-68000 ,3.3,Palermo's Pizza,501-1000,1964.0,Private,Food & Beverage Manufacturing,Manufacturing,40000,68000,54000,WI,Milwaukee,60.0,3078534386.6171002,1,Mid-level,['R'],['Bachelor'],5.0,Low
Other,49000-113000 ,2.7,Advanced BioScience Laboratories,201-500,1961.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,49000,113000,81000,MD,Rockville,63.0,37500000.0,1,Mid-level,"['R', 'Scala']",['PhD'],5.0,Medium
data engineer,75000-140000 ,3.4,Echo Global Logistics,1001-5000,2005.0,Public,Transportation Management,Transportation & Logistics,75000,140000,107500,IL,Chicago,19.0,3500000000.0,3,Mid-level,"['R', 'SQL', 'Scala']",[],3.0,Medium
data scientist,86000-139000 ,3.8,Truckstop.com,501-1000,1995.0,Private,Logistics & Supply Chain,Transportation & Logistics,86000,139000,112500,IL,Chicago,29.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master', 'PhD']",7.25830258302583,Medium
data scientist,66000-112000 ,3.7,Lockheed Martin,10000++,1995.0,Public,Aerospace & Defense,Aerospace & Defense,66000,112000,89000,VA,Herndon,29.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'C++']",[],7.25830258302583,Medium
data scientist,76000-125000 ,4.8,Acuity Insurance,1001-5000,1925.0,Private,Insurance Carriers,Insurance,76000,125000,100500,WI,Sheboygan,99.0,1500000000.0,1,Senior,['R'],"['Master', 'PhD']",5.0,Medium
analyst,44000-86000 ,3.8,Fareportal,1001-5000,2002.0,Private,Travel Agencies,Travel & Tourism,44000,86000,65000,NY,New York,22.0,3500000000.0,3,Mid-level,"['R', 'SQL']",[],2.0,Low
Other,15-25 Per Hour,3.4,"Veterans Affairs, Veterans Health Administration",10000++,1930.0,Government,Federal Agencies,Government,31200,52000,41600,LA,New Orleans,94.0,3078534386.6171002,1,Mid-level,['R'],"['Bachelor', 'Master']",1.0,Low
data scientist,53000-92000 ,4.3,Credera,201-500,1999.0,Subsidiary or Business Segment,Consulting,Business Services,53000,92000,72500,TX,Dallas,25.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']","['Master', 'PhD']",2.0,Low
analyst,44000-78000 ,4.8,KnowBe4,501-1000,2010.0,Private,Security Services,Business Services,44000,78000,61000,FL,Clearwater,14.0,300000000.0,1,Senior,"['Python', 'R', 'SQL']",['Master'],3.0,Low
manager,85000-134000 ,3.4,Church & Dwight,1001-5000,1846.0,Public,Consumer Products Manufacturing,Manufacturing,85000,134000,109500,NJ,Ewing,178.0,3500000000.0,1,Mid-level,"['Python', 'R']",['Master'],5.0,Medium
data engineer,59000-110000 ,3.9,Cogo Labs,51-200,2005.0,Private,Internet,Information Technology,59000,110000,84500,MA,Cambridge,19.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']",[],7.25830258302583,Medium
data scientist,64000-111000 ,3.4,Spectrum Communications and Consulting,51-200,1992.0,Private,Advertising & Marketing,Business Services,64000,111000,87500,IL,Chicago,32.0,17500000.0,1,Mid-level,"['R', 'SQL']",['Bachelor'],7.25830258302583,Medium
analyst,65000-120000 ,3.1,NCSOFT,1001-5000,1997.0,Public,Video Games,Media,65000,120000,92500,CA,San Mateo,27.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL']",['Bachelor'],7.25830258302583,Medium
data scientist,60000-103000 ,3.2,MITRE,5001-10000,1958.0,Nonprofit Organization,Federal Agencies,Government,60000,103000,81500,VA,McLean,66.0,1500000000.0,3,Mid-level,"['Python', 'R', 'Java']",['Bachelor'],2.0,Medium
analyst,53000-105000 ,4.3,"Dayton Freight Lines, Inc.",1001-5000,1981.0,Private,Trucking,Transportation & Logistics,53000,105000,79000,OH,Dayton,43.0,3078534386.6171002,2,Mid-level,"['R', 'SQL', 'Scala']",[],7.25830258302583,Medium
data scientist,124000-204000 ,3.6,MassMutual,5001-10000,1851.0,Private,Insurance Carriers,Insurance,124000,204000,164000,MA,Boston,173.0,10000000000.0,1,Senior,"['Python', 'R', 'SQL', 'Java']",[],7.0,High
data scientist,131000-207000 ,3.9,Genentech,10000++,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,131000,207000,169000,CA,South San Francisco,48.0,10000000000.0,1,Mid-level,"['Python', 'R', 'SQL']",['PhD'],2.0,High
data scientist,110000-174000 ,3.8,Juniper Networks,5001-10000,1996.0,Public,Telecommunications Services,Telecommunications,110000,174000,142000,CA,Cupertino,28.0,3500000000.0,1,Senior,"['Python', 'R', 'Scala']",['PhD'],3.0,High
analyst,33000-62000 ,2.8,Community Action Partnership of San Luis Obispo,501-1000,1992.0,Nonprofit Organization,Social Assistance,Non-Profit,33000,62000,47500,CA,Parlier,32.0,75000000.0,1,Mid-level,['R'],[],7.25830258302583,Low
Other,52000-101000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,52000,101000,76500,MA,Boston,243.0,10000000000.0,3,Mid-level,['R'],['PhD'],7.25830258302583,Medium
analyst,48000-90000 ,3.4,TrueAccord,51-200,2013.0,Private,Enterprise Software & Network Solutions,Information Technology,48000,90000,69000,CA,San Francisco,11.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",[],2.0,Low
analyst,34000-64000 ,4.0,DRB Systems,201-500,1984.0,Private,Computer Hardware & Software,Information Technology,34000,64000,49000,ID,Meridian,40.0,75000000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],3.0,Low
